,"GARAGE ZONE,Zone Air Temperature [C]","LIVING ZONE,Zone Air Temperature [C]","RES DS RES AC ASYS RET AIR ZONE,Zone Air Temperature [C]","RES DS RES FUR GAS ASYS RET AIR ZONE,Zone Air Temperature [C]","UNFINISHED ATTIC ZONE,Zone Air Temperature [C]","UNFINISHED BASEMENT ZONE,Zone Air Temperature [C]",UNIT 1:ELECTRICITYHEATING [J],UNIT 1:ELECTRICITYCOOLING [J],UNIT 1:ELECTRICITYINTERIORLIGHTING [J],CENTRAL:ELECTRICITYEXTERIORLIGHTING [J],CENTRAL:ELECTRICITYGARAGELIGHTING [J],UNIT 1:ELECTRICITYINTERIOREQUIPMENT [J],UNIT 1:ELECTRICITYFANSHEATING [J],UNIT 1:ELECTRICITYFANSCOOLING [J],UNIT 1:ELECTRICITYWATERSYSTEMS [J],UNIT 1:NATURALGASHEATING [J],UNIT 1:NATURALGASWATERSYSTEMS [J],Electricity:Facility [J],"Environment,Site Outdoor Air Wetbulb Temperature [C]",Electricity:Facility [J],NaturalGas:Facility [J]
2023-01-02 19:00:00,13.437161545909412,20.0,23.00000002531604,19.865994162645578,6.394217024064289,19.14681998298193,42968.56901519195,0.0,1409070.7323246635,312727.4329394016,38878.84959393743,2788118.385974663,404123.311442574,0.0,0.0,16801357.004935294,10199664.16934059,4995887.2812904315,32.245371572985384,4995887.281290431,27723938.473455913
2023-01-02 20:00:00,13.396610301243392,20.0,23.000000025316044,19.84678404490575,6.129417139488429,18.952567386613772,42485.87025173607,0.0,1274577.935532006,282878.2663042965,35167.94630284209,2882594.697747635,399583.4855375489,0.0,0.0,16612614.525571002,14384289.98693638,4917288.201676064,32.06236493668871,4917288.201676064,31418606.270362392
2023-01-02 21:00:00,13.336145505305966,20.0,23.00000002531604,19.848049889677906,5.788066070552573,19.113257495457987,48270.915528466874,0.0,986413.9855072701,218923.5120896232,27216.973640935135,2792322.961816396,453992.3641122833,0.0,0.0,18874654.27257082,2345173.2214601734,4527140.712694975,28.737102657488855,4527140.712694975,21521043.035356
2023-01-02 22:00:00,13.251246536724052,20.0,23.00000002531604,19.860038940390265,5.474051096327156,19.173258497558283,51393.3200547631,0.0,848154.9492374011,188238.47087666765,23402.152885080817,2399934.2853534236,483358.86352686654,0.0,0.0,20095561.423134312,0.0,3994482.0419342024,27.63126310206693,3994482.0419342024,20288339.369582318
2023-01-02 23:00:00,13.181900391684202,20.0,23.00000002531604,19.87137155182955,5.391522000318131,19.24296682923307,54225.37635624902,0.0,347014.79457298486,77016.03859145309,9574.77555638108,2045595.4001585464,509994.61139977456,0.0,0.0,21202938.049116865,0.0,3043420.996635389,28.30840975888179,3043420.996635389,21335472.887299865
2023-01-03 00:00:00,13.158935127782021,20.0,23.00000002531604,19.880756247593467,5.390206877871996,19.29205029327284,56375.604696238064,0.0,172307.65550116322,38241.750072962146,4754.284698725945,1662908.3136937195,530217.705094303,0.0,0.0,22043709.683134094,1942563.766537761,2464805.3137571122,28.55565530848736,2464805.3137571122,24070613.80124286
2023-01-03 01:00:00,13.127808139423053,20.0,23.00000002531604,19.88777297021024,5.357374336331688,19.32193241964465,57686.53187445027,0.0,103384.59330069821,22945.05004377735,2852.5708192355755,1546709.7899876577,542547.0947961542,0.0,0.0,22556301.934480157,0.0,2276125.630821973,28.732334062493134,2276125.630821973,22640642.28605116
2023-01-03 02:00:00,13.047520701087073,20.0,23.00000002531604,19.89223139808247,5.0851210084888026,19.3517465100647,60529.79047806091,0.0,68923.06220046543,15296.700029184893,1901.7138794903824,1539305.525620187,569288.2013424874,0.0,0.0,23668058.829147194,0.0,2255244.993549876,24.63629577470095,2255244.993549876,23716253.315759193
2023-01-03 03:00:00,12.867658878187504,20.0,23.00000002531604,19.88867384824367,4.476005668782896,19.25958714607499,55234.03725931013,0.0,68923.06220046543,15296.700029184893,1901.7138794903824,1497933.8337705282,519481.15920925804,0.0,0.0,21597339.638875604,31062190.54205705,2158770.506348237,18.36825248014292,2158770.506348237,52707724.667544656
2023-01-03 04:00:00,12.736009793482845,20.0,23.00000002531604,19.894874022707885,4.150186934053217,19.440288811020974,64847.42220365042,0.0,76626.93513177375,17006.48815424566,2114.277883635867,1385181.298510479,609895.921602332,0.0,0.0,25356317.798437424,0.0,2155672.3434861167,21.24311224005927,2155672.3434861167,25440658.150008425
2023-01-03 05:00:00,12.762863436109106,20.0,23.00000002531604,19.90706461470697,4.517321928196699,19.412461834402723,62272.97405400625,0.0,210255.32050738842,46663.808377915164,5801.330476040561,1502016.1975564358,585683.001898081,0.0,0.0,24349669.83588662,0.0,2412692.632869867,28.356004700483187,2412692.632869867,24482204.67406962
2023-01-03 06:00:00,12.833952339791734,20.0,23.00000002531604,19.897640641941038,5.046847671052707,19.32860632752929,58890.03506003901,0.0,493621.45221486513,109553.74067013562,13619.92251825498,1787907.9403114927,553866.1520475103,0.0,0.0,23026889.788371775,2175846.6746378248,3017459.2428222974,30.48024855250789,3017459.2428222974,25503952.004334614
2023-01-03 07:00:00,12.850346143865407,20.0,23.00000002531604,19.886438786601264,5.360713986932693,19.276818415847032,57752.314527400726,0.0,624665.222757963,138637.43464271084,17235.6608401788,1965005.423727957,543165.7866482476,0.0,0.0,22582023.941572398,4958334.774738397,3346461.843144458,30.299740410414213,3346461.843144458,28046400.825736813
2023-01-03 08:00:00,12.84502915265017,20.0,23.00000002531604,19.883244613589934,5.655092914304633,19.287648453054842,59677.91963062655,0.0,663843.6880184186,147332.65524898536,18316.66665716116,1487183.9438441417,561276.2783095177,0.0,0.0,23334964.51025607,2491364.4556539836,2937631.151708851,31.42886057023866,2937631.151708851,26380565.561948076
2023-01-03 09:00:00,12.90767804710085,20.0,23.00000002531604,19.875748808124744,6.29994068833949,19.14989711497456,51934.406780393096,0.0,682384.8887856022,151447.666643743,18828.252441594468,1077933.6942645975,488447.8335426448,0.0,0.0,20307134.474234216,22301374.355872937,2470976.7424585754,34.37287960571375,2470976.7424585754,43186842.66945118
2023-01-03 10:00:00,13.134309565681875,19.999999999999996,23.00000002531604,19.857786139699247,7.483645556368427,19.098385424112323,50605.38627474216,0.0,663831.3135861631,147329.908882643,18316.325223846692,1104496.8573793152,475948.2744456489,0.0,0.0,19787467.45962113,2165867.0454850923,2460528.0657923594,35.59058663879466,2460528.0657923594,22459376.614532243
2023-01-03 11:00:00,13.339861729975835,20.0,23.00000002531604,19.844644711628618,8.801098639158745,18.998574850210233,48639.5202723811,0.0,638125.8382151562,141624.86715489405,17607.063944222176,1151099.5758302195,457459.12535516743,0.0,0.0,19018784.273596123,2796008.4509506742,2454555.9907720406,33.545821978898644,2454555.99077204,22417223.807196822
2023-01-03 12:00:00,13.344599590720014,20.0,23.00000002531604,19.835742001257454,9.587480731179507,18.970580572380655,46888.409659738194,0.0,619572.2630157175,137507.10939379412,17095.136726474393,1129643.3514522968,440989.7702962805,0.0,0.0,18334073.67623501,2050965.8601024314,2391696.0405443013,32.96334768856564,2391696.0405443013,21071810.97055847
2023-01-03 13:00:00,13.318642327686298,20.0,23.00000002531604,19.826920346866192,9.910741419443184,18.890172416918166,45664.86997120693,0.0,614112.6013933626,136295.39877862865,16944.494634363706,1266661.7241963875,429482.26790689793,0.0,0.0,17855651.248216685,0.0,2509161.3568808474,30.642041362874636,2509161.3568808474,18409887.844254706
2023-01-03 14:00:00,13.205491511932594,20.0,23.00000002531604,19.82482382088034,9.705075177218935,18.939525679428797,48158.57877198797,0.0,617950.6126975247,137147.20230786866,17050.392415654056,1391537.2629497093,452935.82666955586,0.0,0.0,18830728.91052976,4601920.769404903,2664779.8758123005,27.018454600834858,2664779.8758123005,24119421.114155687
2023-01-03 15:00:00,13.030242042022238,20.0,23.00000002531604,19.837475304052138,8.644640214175821,19.049839084493538,52913.23303554053,0.0,648204.6542631949,143861.74724718832,17885.15699109867,1410059.7863570622,497653.78376680176,0.0,0.0,20689870.26775625,2044380.7927199784,2770578.361660887,24.293488884052124,2770578.3616608866,23264390.413208246
2023-01-03 16:00:00,12.831013253309616,20.0,23.00000002531604,19.860016545543328,7.238282555161997,19.217805691705973,59513.83031816221,0.0,749231.037464576,166283.4190291274,20672.660462287775,1828974.3632947926,559733.0033565636,0.0,0.0,23270803.1201378,6383808.375226837,3384408.3139255093,19.442833819149524,3384408.3139255093,30763084.68744068
2023-01-03 17:00:00,12.575964190506548,20.0,23.00000002531604,19.875890201572116,5.560890646639032,19.238037684370607,59488.440450073846,0.0,974021.6254977859,216173.16688343667,26875.0456667959,2363209.7152332566,559494.209330974,0.0,0.0,23260875.299690485,872764.7683300738,4199262.203062322,12.383087343347226,4199262.203062323,25940933.315970626
2023-01-03 18:00:00,12.296997330353902,20.0,23.00000002531604,19.886505824191506,3.9481430222037943,19.36675968371827,67353.55132918037,0.0,1263502.6933980482,280420.240626607,34862.36003008473,2801865.077118756,633466.294652311,0.0,0.0,26336251.994607832,2342045.268154365,5081470.217154988,6.157416896474562,5081470.217154988,30087985.996163253
